arb_id,name,also_known_as,listed_first,listed_last,country,born_year,female,attorney,academic,public_bodies,sport_bodies,associated_with,case_nums,n_cases,first_appointment,latest_appointment,delisted,delisted_age,years_listed
35,Sharad Rao,NA,1996,2022,KEN,1935,0,1,0,0,1,Kenyan National Olympic Committee,"OG 04-008,OG 04-006,704,OG 04-009,OG 08-004,OG 12-003,OG 12-010,161,150,OG 08-002",10,1996-06-28,2012-08-11,TRUE,87,26
36,Stephan Netzle,NA,1996,2010,CHE,1957,0,1,0,0,0,"Stiffler & Nater,Andersen Legal,Wenger Plattner,Netzle Rechtsanwälte,TIMES Attorneys AG","159, 166,312,310,OG 00-011,OG 00-010,OG 00-009,345,343,997,847,1141,1137,1130,1319,OG 08-004,1920,1912, 1913,166-PA,168,555,976, 986,1173,1303,1575, 1627,1838,142,213,212,389-393,527,690,691,1363,OG 08-008, 009",34,1996-02-14,2010-04-15,TRUE,53,14
37,Youssoupha Ndiaye,NA,1996,2019,SEN,1938,0,1,0,1,1,NA,"214,JO 96-006,1338",3,1996-08-01,2008-04-08,TRUE,81,23
38,Bernard Foucher,NA,1997,NA,FRA,1945,0,0,1,1,0,NA,"422,2543,2543-O,5290,5278,6696,289,2203, 2214,3320,166-PA,159, 166,199,395,549,776,922, 923, 926,1368,1252,1338,2018,2220,2684,2616,4315, 4393,4490",25,1997-11-18,2020-08-28,FALSE,NA,NA
39,Massimo Coccia,NA,1997,NA,ITA,1957,0,1,1,0,0,NA,"157,274,378,OG 02-006,549,776,955, 956,1164,1328,1322,1392,1521,2014,2235,2072,2616,2960,2701,OG 12-006,3260,3775,3710,3701,3523,4200,3977,4266,4843,4650,5077,5297,5315, 5316,5114,5853,5546, 5571,5500,6233,6226,8076,OG 02-004,593,830,808,1149, 1211,OG 06-010,1424,1273,1718, 1719, 1720, 1721, 1722, 1723, 1724,1996,2145, 2146, 2147,2478,2477,3364,3331,3067,3254,3052,4163,4223,4826,4814,4606,4984,4949,5104,5628,6452,6344,6319,6854, 6887,7252,7592,200,246,OG 02-001,748,777,701,635,973,889,1067,OG 06-002,1196,1189,1152,1329, 1330,1370, 1376,1370, 1376-O,1545,1545-PA,1455,1881,1880, 1881,1912, 1913,2091,2135,2296,2433,2426,2425,JO 12-009,OG 12-002,2968,2929,2806,3776,3744, 3766,3875,3874,5086,5003,5498,5166, 5405,5607, 5608,6040,5702,6463, 6464,7008, 7009,7526, 7559",120,NA,NA,FALSE,NA,NA
40,Raymond Swerts,NA,1997,2002,BEL,1925,0,1,0,0,1,URBSFA,"180,168,229,289",4,1997-08-29,2001-01-12,TRUE,77,5
41,Timothy J. Castle,Timothy Castle,1997,NA,NZL,1949,0,1,0,0,1,New Zealand Olympic Committee,"149,337,CG 02-001,1948,2039",5,1997-03-13,2010-03-30,FALSE,NA,NA
42,Akira Kotera,NA,1998,2015,JPN,1952,0,0,1,0,0,NA,"OG 98-004-005,1452,OG 98-001,OG 06-008,OG 06-004,2337",6,1998-02-09,2012-03-23,TRUE,63,17
43,Guido De Croock,Guido de Croock,1998,NA,BEL,1951,0,0,0,0,1,"Comité National Olympique Belge,URBSFA","1643,1783,2972,192,382,379,1111",7,1998-10-21,2013-07-23,FALSE,NA,NA
44,Jean Appietto,NA,1998,2007,FRA,1932,0,1,0,0,0,NA,"769,203",2,1998-11-20,2005-03-18,TRUE,75,9
